App,Category,Rating,Reviews,Size_MB,Installs,Type,Price_$,Content_Rating,Genres,Last_Updated,Android_Version
App_1,HEALTH,3.7,401077,2.5,"1,000,000+",Paid,1.99,Teen,Education,2024-06-05,8.0 and up
App_2,LIFESTYLE,5.0,460806,2.5,"10,000+",Free,0.99,Mature 17+,Education,2024-09-14,8.0 and up
App_3,ENTERTAINMENT,2.5,4989914,2.5,"10,000,000+",Free,2.99,Teen,Health,2024-06-12,5.0 and up
App_4,TOOLS,3.0,1004011,2.5,"1,000+",Free,0.0,Everyone,Action,2024-05-26,4.1 and up
App_5,HEALTH,3.5,312033,2.5,"1,000,000+",Free,2.99,Everyone,Health,2024-06-02,4.1 and up
App_6,EDUCATION,4.8,3205609,2.5,"1,000+",Free,0.0,Teen,Health,2024-02-07,4.1 and up
App_7,HEALTH,2.7,4686176,2.5,"10,000+",Free,4.99,Everyone,Music,2024-05-10,6.0 and up
App_8,ENTERTAINMENT,2.5,3177912,2.5,"10,000+",Paid,4.99,Mature 17+,Health,2024-12-23,6.0 and up
App_9,TOOLS,2.6,755121,2.5,"10,000,000+",Free,0.0,Mature 17+,Tools,2024-09-11,8.0 and up
App_10,LIFESTYLE,2.7,2320725,2.5,"10,000,000+",Free,2.99,Teen,Health,2024-07-26,6.0 and up
App_11,ENTERTAINMENT,2.6,2234815,2.5,"10,000+",Free,0.0,Everyone,Music,2024-04-04,4.1 and up
App_12,ENTERTAINMENT,3.7,4304469,2.5,"1,000,000+",Paid,0.99,Mature 17+,Tools,2024-12-13,5.0 and up
App_13,EDUCATION,4.0,1899064,2.5,"1,000+",Free,4.99,Mature 17+,Education,2024-11-22,6.0 and up
App_14,FINANCE,3.2,3457560,2.5,"100,000+",Paid,0.99,Mature 17+,Puzzle,2024-06-19,6.0 and up
App_15,TOOLS,3.5,1550194,2.5,"10,000,000+",Free,4.99,Teen,Business,2024-09-06,4.1 and up
App_16,BUSINESS,2.7,4174492,2.5,"100,000+",Free,4.99,Teen,Health,2024-07-08,6.0 and up
App_17,ENTERTAINMENT,3.3,3273533,2.5,"1,000,000+",Free,1.99,Mature 17+,Tools,2024-07-17,8.0 and up
App_18,FINANCE,3.8,88678,2.5,"10,000,000+",Free,0.99,Mature 17+,Puzzle,2024-08-08,5.0 and up
